넘버링,총 운세 옵션 2 (선택 2),행운 항목 1,행운 결과 1,행운 항목 2,행운 결과 2,행운 항목 3,행운 결과 3,추천 음악 제목,추천 아티스트,타겟 제품코드
103,따스한 햇살처럼 평화롭고 안락한 하루입니다.,오늘의 향기,샌달우드,오늘의 숫자,44,오늘의 귀인과 함께하세요,검은 머리의 사람,햇빛이 좋아,장나라,
179,말 한마디가 상황을 유리하게 만듭니다,오늘의 향기,시트러스,오늘의 숫자,4,오늘의 귀인과 함께하세요,입이 큰 사람,말을 해줘,HOT,
126,작은 규모의 복권이 당첨될 수 있습니다.,오늘의 컬러,바이올렛,오늘의 숫자,67,오늘의 귀인과 함께하세요,손이 큰 사람,돈벼락,영탁,
153,오랫동안 바라던 목표가 가시권에 들어옵니다,오늘의 컬러,실버,오늘의 숫자,9,오늘의 귀인과 함께하세요,키가 큰 사람,닿을 것 같아,폴킴,
188,뜻밖의 여유 자금이 생깁니다,오늘의 컬러,코랄,오늘의 숫자,23,오늘의 귀인과 함께하세요,손가락이 긴 사람,돈을 벌고 싶다,"로꼬, 화사",
15,뜻밖의 행운이 스쳐 지나갑니다.,오늘의 음식,따뜻한 캔커피,오늘의 숫자,17,오늘의 귀인과 함께하세요,달리기를 잘 하는 사람,기분 좋은 날,김완선,enhp-007
51,컨디션이 비교적 가볍게 유지됩니다.,오늘의 음식,솜사탕,오늘의 숫자,18,오늘의 귀인과 함께하세요,점프를 높이 뛰는 사람,비행기,거북이,
44,일본 여행을 계획하거나 떠나기 좋은 타이밍입니다.,오늘의 아이템,사쿠라 자수건,오늘의 숫자,61,오늘의 귀인과 함께하세요,손톱이 예쁜 사람,벚꽃 엔딩,버스커 버스커,
96,세상에서 가장 행복한 주인공이 된 기분을 만끽하세요.,오늘의 아이템,노란색 풍선,오늘의 숫자,20,오늘의 귀인과 함께하세요,손을 든 사람,나야나,PRODUCE 101,
131,지혜로운 조언자의 도움으로 난관을 극복합니다.,오늘의 아이템,열쇠,오늘의 숫자,50,오늘의 귀인과 함께하세요,안경을 쓴 사람,해결사,HOT,
134,당신의 긍정적인 에너지가 주변을 밝게 비춥니다.,오늘의 아이템,해바라기 씨앗,오늘의 숫자,1,오늘의 귀인과 함께하세요,머리를 민 사람,Shining Star,엔시티 드림,
147,바라던 일이 현실로 한 걸음 다가옵니다,오늘의 아이템,소원 쪽지,오늘의 숫자,77,오늘의 귀인과 함께하세요,보고있는 문을 세번째로 넘어오는 사람,기적,신해철,
174,잠깐의 휴식이 큰 안정이 됩니다,오늘의 아이템,캔들,오늘의 숫자,8,오늘의 귀인과 함께하세요,횡단보도 건너편에 있는 사람,잠시 멈춤,폴킴,
194,미래에 한 발 더 다가갑니다,오늘의 아이템,비전 보드,오늘의 숫자,42,오늘의 귀인과 함께하세요,자는 사람,꿈을 꾼다,소녀시대,
199,사과나 고백이 관계를 부드럽게 합니다,오늘의 아이템,예쁜 엽서,오늘의 숫자,6,오늘의 귀인과 함께하세요,반지를 낀 사람,진심을 담아,김동률,
2,새로운 즐거움을 발견하게 됩니다.,오늘의 장소,동네 서점,오늘의 숫자,7,오늘의 귀인과 함께하세요,일기를 쓰는 사람,취미,10CM,bnd-001
157,소중한 사람들과의 사이가 더 가까워집니다,오늘의 장소,오래된 찻집,오늘의 숫자,5,오늘의 귀인과 함께하세요,카페 점원,Closer,The Chainsmokers,
129,건강한 루틴을 만들어 삶의 질이 향상됩니다.,오늘의 향기,라벤더,오늘의 시간,저녁 10시,오늘의 귀인과 함께하세요,요리를 잘 하는 사람,쉼 (Rest),폴킴,
137,우연한 만남이 새로운 기회의 문을 열어줍니다.,오늘의 향기,은은한 비누향,오늘의 시간,오후 2:00,오늘의 귀인과 함께하세요,검은 머리의 사람,열어줘,헤이즈,
155,예상치 못한 기회가 자연스럽게 열립니다,오늘의 향기,아카시아,오늘의 시간,저녁 7시,오늘의 귀인과 함께하세요,입이 큰 사람,행운,라붐,
173,안목이 좋은 선택으로 이어집니다,오늘의 향기,가죽 냄새,오늘의 시간,오후 6:00,오늘의 귀인과 함께하세요,손이 큰 사람,그림 같은 집,방탄소년단,
122,당신의 예리한 직감이 중요한 순간에 큰 도움을 줍니다.,오늘의 컬러,네이비,오늘의 시간,오후 3:00,오늘의 귀인과 함께하세요,키가 큰 사람,직감,김현정,
140,짧은 휴식만으로도 충분히 재충전됩니다,오늘의 컬러,베이지,오늘의 시간,저녁 9시,오늘의 귀인과 함께하세요,손가락이 긴 사람,쉼표,폴킴,
146,온라인이나 소통의 기회가 눈에 띄게 늘어납니다ㅇㅇㅇㅇ,오늘의 컬러,사이버 블루,오늘의 시간,밤 12시,오늘의 귀인과 함께하세요,달리기를 잘 하는 사람,인싸,지코,
36,생활 습관을 돌아보면 몸이 가벼워집니다.,오늘의 음식,샐러드 볼,오늘의 시간,아침 8시,오늘의 귀인과 함께하세요,점프를 높이 뛰는 사람,Clean,Taylor Swift,
165,식습관 관리로 몸이 한결 가벼워집니다,오늘의 음식,닭가슴살 샐러드,오늘의 시간,아침 6시,오늘의 귀인과 함께하세요,손톱이 예쁜 사람,다이어트,홍진영,
176,언어 능력이나 소통에서 기회가 열립니다,오늘의 음식,김치찌개,오늘의 시간,오전 9:00,오늘의 귀인과 함께하세요,손을 든 사람,말하지 않아도 알아요,이적,
181,작은 행운으로 기분이 좋아집니다,오늘의 음식,행운의 쿠키,오늘의 시간,저녁 8시,오늘의 귀인과 함께하세요,안경을 쓴 사람,럭키 스타,이효리,
191,호감 가는 만남이 찾아옵니다,오늘의 음식,칵테일,오늘의 시간,밤 10시,오늘의 귀인과 함께하세요,머리를 민 사람,운명,윤미래,
42,번뜩이는 아이디어가 좋은 흐름을 만듭니다.,오늘의 아이템,태블릿 PC,오늘의 시간,오후 3:00,오늘의 귀인과 함께하세요,보고있는 문을 세번째로 넘어오는 사람,반짝반짝,걸스데이,
115,새로운 도전에 성공적인 첫발을 내딛습니다.,오늘의 아이템,새 필통,오늘의 시간,아침 9시,오늘의 귀인과 함께하세요,횡단보도 건너편에 있는 사람,첫 만남,자우림,
118,감동적인 선물을 받게 됩니다.,오늘의 숫자,88,오늘의 시간,오후 5:00,오늘의 귀인과 함께하세요,자는 사람,고마워,폴킴,
168,솔직한 마음이 깊은 공감을 얻습니다,오늘의 숫자,19,오늘의 시간,오후 9:00,오늘의 귀인과 함께하세요,반지를 낀 사람,진심,멜로망스,
196,감각적인 판단이 이익으로 이어집니다,오늘의 숫자,88,오늘의 시간,오후 2:00,오늘의 귀인과 함께하세요,일기를 쓰는 사람,돈이 필요해,노라조,
107,늦었다고 생각할 때가 가장 빠릅니다. 새로운 시작을 하세요.,오늘의 장소,오래된 학교,오늘의 시간,새벽 1시,오늘의 귀인과 함께하세요,카페 점원,지금 이 순간,조승우,
161,주변에 긍정적인 기운을 나누게 됩니다,오늘의 장소,체육관,오늘의 시간,오후 4:00,오늘의 귀인과 함께하세요,요리를 잘 하는 사람,난 나만의 길을 간다,김건모,
9,마음을 전한 만큼 반응이 돌아옵니다.,오늘의 컬러,웜화이트,오늘의 아이템,무릎 담요,오늘의 귀인과 함께하세요,검은 머리의 사람,진심,성시경,enhp-001
16,잊고 있던 소중한 것을 떠올리게 됩니다.,오늘의 컬러,그레이,오늘의 아이템,금속 탐지기,오늘의 귀인과 함께하세요,입이 큰 사람,기억의 습작,전람회,enhp-008
20,아이디어가 긍정적인 반응을 얻습니다.,오늘의 컬러,브라운,오늘의 아이템,가죽 벨트,오늘의 귀인과 함께하세요,손이 큰 사람,Yes or Yes,트와이스,katseye-001
24,마음이 흔들리지 않고 안정적인 하루입니다.,오늘의 컬러,포레스트그린,오늘의 아이템,나무 화분,오늘의 귀인과 함께하세요,키가 큰 사람,나무,카더가든,svt-002
97,복잡한 일들이 순조롭게 해결됩니다.,오늘의 컬러,스카이블루,오늘의 아이템,실크 넥타이,오늘의 귀인과 함께하세요,손가락이 긴 사람,No Problem,Kenshi Yonezu,
106,주변 사람들과의 관계가 더욱 돈독해지는 계기가 생깁니다.,오늘의 컬러,웜 화이트,오늘의 아이템,포장지,오늘의 귀인과 함께하세요,달리기를 잘 하는 사람,Good Company,Sam Smith,
111,예상치 못한 곳에서 인생의 멘토를 만나게 됩니다.,오늘의 컬러,오션블루,오늘의 아이템,지도,오늘의 귀인과 함께하세요,점프를 높이 뛰는 사람,바다보러갈래 BAE,효린,
117,묵은 감정을 털어내고 새로운 마음으로 출발합니다.,오늘의 컬러,스카이 블루,오늘의 아이템,비눗방울,오늘의 귀인과 함께하세요,손톱이 예쁜 사람,시원한 바람이 불어와,에피톤 프로젝트,
136,당신의 뛰어난 협상 능력이 빛을 발하는 시기입니다.,오늘의 컬러,다크 그린,오늘의 아이템,명함,오늘의 귀인과 함께하세요,손을 든 사람,성공시대,싸이,
149,관계에서 한 단계 진전이 있습니다,오늘의 컬러,로즈 쿼츠,오늘의 아이템,커플링,오늘의 귀인과 함께하세요,안경을 쓴 사람,결혼해 줘,이승기,
156,현명한 판단으로 신뢰를 얻습니다,오늘의 컬러,에메랄드 그린,오늘의 아이템,체스판,오늘의 귀인과 함께하세요,머리를 민 사람,지혜,넬,
164,누군가에게 든든한 조언자가 됩니다,오늘의 컬러,아이보리,오늘의 아이템,메모지,오늘의 귀인과 함께하세요,보고있는 문을 세번째로 넘어오는 사람,스승의 은혜,합창단,
171,열정이 주변에 좋은 자극이 됩니다,오늘의 컬러,체리 레드,오늘의 아이템,열쇠고리,오늘의 귀인과 함께하세요,횡단보도 건너편에 있는 사람,열정적으로,지코,
12,새로운 시작을 생각해보기 좋은 날입니다.,오늘의 숫자,19,오늘의 아이템,오르골,오늘의 귀인과 함께하세요,자는 사람,출발,김동률,enhp-004
26,자신감이 넘치는 하루입니다.,오늘의 숫자,21,오늘의 아이템,덤벨 모양 장식,오늘의 귀인과 함께하세요,반지를 낀 사람,내가 제일 잘 나가,2NE1,svt-004
29,미뤄두었던 꿈을 다시 떠올리게 됩니다.,오늘의 숫자,7,오늘의 아이템,새 운동화,오늘의 귀인과 함께하세요,일기를 쓰는 사람,다시 만난 세계,소녀시대,svt-007
76,어떤 어려움도 이겨낼 수 있는 무한 동력을 얻습니다.,오늘의 숫자,28,오늘의 아이템,보조 배터리,오늘의 귀인과 함께하세요,카페 점원,에너지,마이티 마우스,
162,노력에 대한 작은 보답을 받습니다,오늘의 숫자,40,오늘의 아이템,지갑,오늘의 귀인과 함께하세요,요리를 잘 하는 사람,행운을 빌어 (Good Luck),AOA,
177,추진력이 좋은 흐름을 만듭니다,오늘의 숫자,13,오늘의 아이템,단단한 돌멩이,오늘의 귀인과 함께하세요,검은 머리의 사람,나는 나비,윤도현 밴드,
184,나눔을 통해 보람을 느낍니다,오늘의 숫자,1004,오늘의 아이템,구급상자,오늘의 귀인과 함께하세요,입이 큰 사람,Give Love,악동뮤지션,
138,취미 활동이 돈이 되는 부업으로 연결됩니다.,오늘의 장소,공원 벤치,오늘의 아이템,색연필,오늘의 귀인과 함께하세요,손이 큰 사람,상상 속의 너,엑소 시우민,
143,예상치 못한 지출이 발생합니다,오늘의 장소,은행 창구,오늘의 아이템,가계부,오늘의 귀인과 함께하세요,키가 큰 사람,잔액이 부족합니다,지코,
17,지금까지의 선택이 단단해집니다.,오늘의 향기,가죽 냄새,오늘의 음식,아침 식사,오늘의 귀인과 함께하세요,손가락이 긴 사람,길,g.o.d,enhp-009
73,흩어진 퍼즐 조각이 맞춰지듯 답을 찾습니다.,오늘의 향기,오렌지,오늘의 음식,구슬 아이스크림,오늘의 귀인과 함께하세요,달리기를 잘 하는 사람,Answer,BUMP OF CHICKEN,
79,밤샘 공부나 작업이 빛을 발해 최고의 점수를 얻습니다.,오늘의 향기,커피,오늘의 음식,초콜릿,오늘의 귀인과 함께하세요,점프를 높이 뛰는 사람,열정,유승준,
193,재능을 펼칠 기회가 보입니다,오늘의 향기,라벤더,오늘의 음식,삼겹살,오늘의 귀인과 함께하세요,손톱이 예쁜 사람,새로운 출발,SG 워너비,
7,당신의 가능성을 보여줄 기회가 옵니다.,오늘의 컬러,살구색,오늘의 음식,따뜻한 아메리카노,오늘의 귀인과 함께하세요,손을 든 사람,기회,윤도현밴드,bts-003
30,마음을 다잡기 좋은 하루입니다.,오늘의 컬러,실버,오늘의 음식,샌드위치,오늘의 귀인과 함께하세요,안경을 쓴 사람,마음,아이유,svt-008
32,금전 흐름을 점검해보기 좋은 날입니다.,오늘의 컬러,노란색,오늘의 음식,돼지국밥,오늘의 귀인과 함께하세요,머리를 민 사람,돈 (Money),리사,txt-001
34,뜻밖의 행운이 스쳐 지나갈 수 있습니다.,오늘의 컬러,체리레드,오늘의 음식,찹쌀떡,오늘의 귀인과 함께하세요,보고있는 문을 세번째로 넘어오는 사람,로또,EXO,
45,밤이 깊어질수록 좋은 기운이 또렷해집니다.,오늘의 컬러,미드나잇블루,오늘의 음식,탄산수,오늘의 귀인과 함께하세요,횡단보도 건너편에 있는 사람,별이 빛나는 밤,마마무,
53,밝은 에너지가 일상에 스며듭니다.,오늘의 컬러,라임,오늘의 음식,과일 샐러드,오늘의 귀인과 함께하세요,자는 사람,빨간 맛,레드벨벳,
61,답답함이 걷히고 상쾌한 전환이 옵니다.,오늘의 컬러,민트,오늘의 음식,민트 사탕,오늘의 귀인과 함께하세요,반지를 낀 사람,Soda Pop,Saja Boys&Andrew Choi&Neckwav&대니 정&Kevin Woo&samUIL Lee&KPop Demon Hunters Cast,
65,새로운 배움에서 즐거움을 느낍니다.,오늘의 컬러,카키,오늘의 음식,녹차,오늘의 귀인과 함께하세요,일기를 쓰는 사람,New Rules,Dua Lipa,
69,재능을 발휘할 여지가 충분합니다.,오늘의 컬러,네이비,오늘의 음식,에너지바,오늘의 귀인과 함께하세요,카페 점원,아이돌 (Idol),YOASOBI,
83,따뜻한 관계가 오래 이어질 운입니다,오늘의 컬러,베이지,오늘의 음식,따뜻한 음료,오늘의 귀인과 함께하세요,요리를 잘 하는 사람,With You,Yuuri,
91,주변의 칭찬과 인정이 끊이지 않는 시기입니다.,오늘의 컬러,골드,오늘의 음식,고급 케이크,오늘의 귀인과 함께하세요,검은 머리의 사람,잘하고 있어,Stray Kids,
112,잃어버렸다고 생각했던 물건을 되찾게 됩니다.,오늘의 귀인과 함께하세요,초등학교 친구,오늘의 음식,분식 세트,오늘의 귀인과 함께하세요,입이 큰 사람,오래된 노래,김동률,
142,주변과 호흡이 잘 맞아 좋은 결과를 만듭니다,오늘의 귀인과 함께하세요,CEO,오늘의 음식,김밥,오늘의 귀인과 함께하세요,손이 큰 사람,TEAM,백예린,
163,소소한 행복을 발견하게 됩니다,오늘의 귀인과 함께하세요,강아지,오늘의 음식,핫도그,오늘의 귀인과 함께하세요,키가 큰 사람,소확행,마마무,
172,뜻밖의 인연을 만나게 됩니다,오늘의 귀인과 함께하세요,낯선 여행자,오늘의 음식,특색 있는 요리,오늘의 귀인과 함께하세요,손가락이 긴 사람,우연히,이문세,
183,진솔한 대화가 큰 힘이 됩니다,오늘의 귀인과 함께하세요,친한 친구,오늘의 음식,따뜻한 국물,오늘의 귀인과 함께하세요,달리기를 잘 하는 사람,Tell me,원더걸스,
197,가족과 좋은 시간을 보냅니다,오늘의 귀인과 함께하세요,부모님,오늘의 음식,떡케이크,오늘의 귀인과 함께하세요,점프를 높이 뛰는 사람,가족,이승철,
13,노력한 만큼 보람을 느끼게 됩니다.,오늘의 아이템,손목 보호대,오늘의 음식,프로틴 쉐이크,오늘의 귀인과 함께하세요,손톱이 예쁜 사람,해낼 수 있어,이적,enhp-005
101,예상치 못한 제의를 받게 됩니다.,오늘의 아이템,만년필,오늘의 음식,사골국,오늘의 귀인과 함께하세요,손을 든 사람,이름이 뭐예요,4minute,
121,꿈꿔왔던 여행 계획이 순조롭게 진행됩니다.,오늘의 아이템,여권 케이스,오늘의 음식,현지 음식,오늘의 귀인과 함께하세요,안경을 쓴 사람,떠나요 둘이서,"씨스타, 효린",
154,새로운 방식으로 생각을 표현하게 됩니다,오늘의 아이템,마이크,오늘의 음식,목캔디,오늘의 귀인과 함께하세요,머리를 민 사람,나의 목소리,이적,
47,설레는 시작을 기대해도 좋습니다.,오늘의 숫자,90,오늘의 음식,피크닉 도시락,오늘의 귀인과 함께하세요,보고있는 문을 세번째로 넘어오는 사람,봄 사랑 벚꽃 말고,"하이포, 아이유",
67,평온한 흐름 속에서 마음이 정돈됩니다.,오늘의 숫자,55,오늘의 음식,허브차,오늘의 귀인과 함께하세요,횡단보도 건너편에 있는 사람,Slow & Easy,Hikaru Utada,
71,세련된 리듬에 맞춰 삶의 속도를 조절합니다.,오늘의 숫자,65,오늘의 음식,탄산수,오늘의 귀인과 함께하세요,자는 사람,Tempo,EXO,
87,주저함 없이 나설수록 존재감이 또렷해지는 하루입니다.,오늘의 숫자,11,오늘의 음식,팀원 간식,오늘의 귀인과 함께하세요,반지를 낀 사람,위풍당당,카라,
